Curriculum,Sociology
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ENGL101 First-Year Composition,ENGL,101,,,,3,,,1
2,or MATH 112 College Algebra Concepts and Applications,MATH,109c,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,First Semester Second Language,,,,,,4,,,1
6,ENGL102 First-Year Composition,ENGL,102,,,,3,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Semester Second Language,,,,,,4,,,2
11,Introduction to Sociology,SOC,101,,,,3,,,3
12,Sociology Additional Units,,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Third Semester Second Language,,,,,,4,,,3
16,Social Statistics,SOC,274,,,,3,,,4
17,Sociology Additional Units,,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Fourth Semester Second Language,,,,,,4,,,4
20,Tier II General Education,,,,,,3,,,4
21,Social Research Methods,SOC,275,,,,3,,,5
22,Sociology Additional Units,,,,,,3,,,5
23,Minor Course,,,,,,3,,,5
24,Elective,,,,,,3,,,5
25,Elective,,,,,,3,,,5
26,Sources of Sociological Theory,SOC,300,,,,3,,,6
27,Sociology Additional Units,,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,Minor Course,,,,,,3,,,6
30,Elective,,,,,,3,,,6
31,Sociology Additional Units,,,,,,3,,,7
32,Sociology Additional Units,,,,,,3,,,7
33,Minor Course,,,,,,3,,,7
34,Minor Course,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,Sociology Additional Units,,,,,,3,,,8
37,Sociology Additional Units,,,,,,3,,,8
38,Minor Course,,,,,,3,,,8
39,Elective - Upper Division,,,,,,3,,,8
40,Elective - Upper Division,,,,,,3,,,8
