Curriculum,Economics
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Math 112  College Algebra,,,,,,3,,,1
3,Computers and Internetworked Society,MIS,111,,,,3,,,1
4,Computers and Internetworked Society Lab,MIS,112,,,,1,,,1
5,Second Language,,,,,,4,,,1
6,Tier I General Education,,,,,,3,,,1
7,First-Year Composition,ENGL,102,,,,3,,,2
8,"116, 122A/B, or MATH 125",MATH,113,,,,3,,,2
9,Second Language,,,,,,4,,,2
10,Tier I General Education,,,,,,3,,,2
11,Tier I General Education,,,,,,3,,,2
12,Basic Economic Issues,ECON,200,,,,3,,,3
13,Statistical Inference in Management,BNAD,276,,,,3,,,3
14,Second Language,,,,,,4,,,3
15,Tier I General Education,,,,,,3,,,3
16,Minor Course,,,,,,3,,,3
17,Commuincation Essentials in Economics,BCOM,212,,,,3,,,4
18,Second Language,,,,,,4,,,4
19,Tier I General Education,,,,,,3,,,4
20,Tier I General Education,,,,,,3,,,4
21,Minor Course,,,,,,3,,,4
22,Intermediate Microeconomics,ECON,361,,,,3,,,5
23,ECON Major Elective Course,ECON,,,,,3,,,5
24,Tier II General Education,,,,,,3,,,5
25,Tier II General Education,,,,,,3,,,5
26,Minor Course,,,,,,3,,,5
27,Intermediate Macroeconomics,ECON,332,,,,3,,,6
28,ECON Major Elective Course,ECON,,,,,3,,,6
29,Tier II General Education,,,,,,3,,,6
30,General Elective,,,,,,3,,,6
31,Minor Course,,,,,,3,,,6
32,ECON Major 400 level Elective Course,ECON,,,,,3,,,7
33,ECON Major Elective Course,ECON,,,,,3,,,7
34,ECON Major Elective Course,ECON,,,,,3,,,7
35,Minor Course,,,,,,3,,,7
36,General Elective,,,,,,3,,,7
37,ECON Major 400 level Elective Course,ECON,,,,,3,,,8
38,ECON Major 400 level Elective Course,ECON,,,,,3,,,8
39,Minor Course,,,,,,3,,,8
40,General Elective,,,,,,1,,,8
