college_name,college_code,college_division_name,college_division_code,department_name,department_code,major_name,major_code,program_name,program_code,cip_code,academic_period
College of Agriculture and Life Sciences,CALS,,,,,Agribusiness Economics & Management,ABEM,Agribusiness Economics & Management - Bachelor of Science: Agribusiness Management Emphasis,AGRBMAN,1.0101,Fall 2020
College of Agriculture and Life Sciences,CALS,,,,,Agribusiness Economics & Management,ABEM,Agribusiness Economics & Management - Bachelor of Science: Agribusiness Management Emphasis,AGRBMAN,1.0101,Spring 2021
College of Agriculture and Life Sciences,CALS,,,,,Agribusiness Economics & Management,ABEM,Agribusiness Economics & Management - Bachelor of Science: Agricultural Economics Emphasis,ABEMECON,1.0101,Fall 2020
College of Agriculture and Life Sciences,CALS,,,,,Agribusiness Economics & Management,ABEM,Agribusiness Economics & Management - Bachelor of Science: Agricultural Economics Emphasis,ABEMECON,1.0101,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Agricultural Education,,Agricultural Systems Management,AGSM,Agricultural Systems Management - Bachelor of Science,AGSM,1.0301,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Agricultural Education,,Agricultural Systems Management,AGSM,Agricultural Systems Management - Bachelor of Science,AGSM,1.0301,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Agricultural Education,,Agricultural Technology Management and Education,AGTE,Agricultural Technology Management and Education - Bachelor of Science: Agricultural Technology Management Emphasis,AGT,1.0106,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Agricultural Education,,Agricultural Technology Management and Education,AGTE,Agricultural Technology Management and Education - Bachelor of Science: Agricultural Technology Management Emphasis,AGT,1.0106,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Agricultural Education,,Agricultural Technology Management and Education,AGTE,Agricultural Technology Management and Education - Bachelor of Science: Leadership and Communication Emphasis,LCE,1.0106,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Agricultural Education,,Agricultural Technology Management and Education,AGTE,Agricultural Technology Management and Education - Bachelor of Science: Leadership and Communication Emphasis,LCE,1.0106,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Agricultural Education,,Agricultural Technology Management and Education,AGTE,Agricultural Technology Management and Education - Bachelor of Science: Teaching Emphasis,ATMED,1.0106,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Agricultural Education,,Agricultural Technology Management and Education,AGTE,Agricultural Technology Management and Education - Bachelor of Science: Teaching Emphasis,ATMED,1.0106,Spring 2021
College of Agriculture and Life Sciences,CALS,,,,,Animal Science,ABI,Animal and Biomedical Industries - Bachelor of Science,ABIBS,26.9999,Fall 2020
College of Agriculture and Life Sciences,CALS,,,,,Animal Science,ABI,Animal and Biomedical Industries - Bachelor of Science,ABIBS,26.9999,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Animal Science,ASC,Animal Sciences - Bachelor of Science: Animal Industry Emphasis,ANIIND,1.0901,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Animal Science,ASC,Animal Sciences - Bachelor of Science: Animal Industry Emphasis,ANIIND,1.0901,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Animal Science,ASC,Animal Sciences - Bachelor of Science: Equine Emphasis,EQU,1.0901,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Animal Science,ASC,Animal Sciences - Bachelor of Science: Equine Emphasis,EQU,1.0901,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Animal Science,ASC,Animal Sciences - Bachelor of Science: Race Track Emphasis,RTI,1.0901,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Animal Science,ASC,Animal Sciences - Bachelor of Science: Race Track Emphasis,RTI,1.0901,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Animal Science,ASC,Animal Sciences - Bachelor of Science: Science Preprofessional Emphasis,SPP,1.0901,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Animal Science,ASC,Animal Sciences - Bachelor of Science: Science Preprofessional Emphasis,SPP,1.0901,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Biosystems Engineering,,Biosystems Analytics and Technology,BAT,Biosystems Analytics and Technology - Bachelor of Science,BAT,15.1199,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Biosystems Engineering,,Biosystems Analytics and Technology,BAT,Biosystems Analytics and Technology - Bachelor of Science,BAT,15.1199,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Agricultural & Resource Econ,,Environmental Sciences,EWRE,Environmental and Water Resource Economics - Bachelor of Science,EWRE,45.0602,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Agricultural & Resource Econ,,Environmental Sciences,EWRE,Environmental and Water Resource Economics - Bachelor of Science,EWRE,45.0602,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Environmental  Science,,Environmental Sciences,ENVS,"Environmental Sciences - Bachelor of Science: Leader, Sustainablity, and Communication Emphasis",LSC,3.0104,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Environmental  Science,,Environmental Sciences,ENVS,"Environmental Sciences - Bachelor of Science: Leader, Sustainablity, and Communication Emphasis",LSC,3.0104,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Environmental  Science,,Environmental Sciences,ENVS,Environmental Sciences - Bachelor of Science: Physcial and Chemical Dynamics Emphasis,PCD,3.0104,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Environmental  Science,,Environmental Sciences,ENVS,Environmental Sciences - Bachelor of Science: Physcial and Chemical Dynamics Emphasis,PCD,3.0104,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Environmental  Science,,Environmental Sciences,ENVS,"Environmental Sciences - Bachelor of Science: Soil, Air, and Water Emphasis",SAW,3.0104,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Environmental  Science,,Environmental Sciences,ENVS,"Environmental Sciences - Bachelor of Science: Soil, Air, and Water Emphasis",SAW,3.0104,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Environmental  Science,,Environmental Sciences,ENVS,Environmental Sciences - Bachelor of Science: The Biosphere Emphasis,BIOS,3.0104,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Environmental  Science,,Environmental Sciences,ENVS,Environmental Sciences - Bachelor of Science: The Biosphere Emphasis,BIOS,3.0104,Spring 2021
College of Agriculture and Life Sciences,CALS,Norton School of Family and Consumer Sciences,,"Family & Consumer Sci, Sch",,Family Studies & Human Developmen,FSHD,Family Studies & Human Development - Bachelor of Science,FSHD,19.0701,Fall 2020
College of Agriculture and Life Sciences,CALS,Norton School of Family and Consumer Sciences,,"Family & Consumer Sci, Sch",,Family Studies & Human Developmen,FSHD,Family Studies & Human Development - Bachelor of Science,FSHD,19.0701,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Food Safety,FDSF,Food Safety - Bachelor of Science,FDSF,1.1099,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Food Safety,FDSF,Food Safety - Bachelor of Science,FDSF,1.1099,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Microbiology,MICR,Microbiology - Bachelor of Science,MICR,26.0502,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Microbiology,MICR,Microbiology - Bachelor of Science,MICR,26.0502,Spring 2021
