College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus,Demand
Col Arch Plan & Landscape Arch,Col Arch Plan & Landscape Arch,Graduate,Heritage Conservation,2020,1,Main,6.534738
Col Arch Plan & Landscape Arch,Planning Degree Program,Graduate,Master of Science in Planning,2020,27,Main,31.623345
Col Arch Plan & Landscape Arch,Planning Degree Program,Graduate,Master of Science in Urban Planning,2020,6,Main,31.623345
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Real Estate Development Analysis,2020,1,Main,47.72264
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Real Estate Development Finance,2020,1,Online,194.9377185
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Real Estate Development Practice,2020,1,Main,60.631536
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Master in Real Estate Development,2020,18,Main,47.72264
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Master in Real Estate Development,2020,32,Online,47.72264
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Master of Landscape Architecture,2020,35,Main,17.19396
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Undergraduate,Major in Sustainable Built Environments,2020,113,Main,65.5996425
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Undergraduate,Major in Sustainable Built Environments,2020,44,Online,65.5996425
Col Arch Plan & Landscape Arch,School of Architecture,Graduate,Master of Architecture,2020,18,Main,115.410582
Col Arch Plan & Landscape Arch,School of Architecture,Graduate,Master of Science in Architecture,2020,20,Main,115.410582
Col Arch Plan & Landscape Arch,School of Architecture,Undergraduate,Major in Architecture,2020,256,Main,115.410582
Col Arch Plan & Landscape Arch,School of Architecture,Undergraduate,Pre-Architecture,2020,183,Main,115.410582
College of Agric and Life Sci,Agricultural & Resource Econ,Graduate,Master of Science in Agricultural and Resource Economics,2020,14,Main,104340
College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Agribusiness Economics and Management,2020,130,Main,104340
College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Agribusiness Economics and Management,2020,5,Main,104340
College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Environmental and Water Resource Economics,2020,21,Main,23.773869
College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Environmental and Water Resource Economics,2020,2,Main,23.773869
College of Agric and Life Sci,Agricultural Education,Graduate,Adult Teaching,2020,1,Main,38.802204
College of Agric and Life Sci,Agricultural Education,Graduate,Agricultural Leadership,2020,1,Main,662.5125
College of Agric and Life Sci,Agricultural Education,Graduate,Master of Science in Agricultural Education,2020,12,Main,11.55336
College of Agric and Life Sci,Agricultural Education,Graduate,Master of Science in Agricultural Education,2020,13,Online,11.55336
College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Systems Management,2020,9,Distance,662.5125
College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Technology Management and Education,2020,24,Distance,11.55336
College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Technology Management and Education,2020,94,Main,11.55336
College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Technology Management and Education,2020,2,Main,11.55336
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Doctor of Philosophy in Animal Sciences,2020,4,Main,1.900269
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Doctor of Philosophy in Microbiology,2020,3,Main,16.55115
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Master of Science in Animal Sciences,2020,2,Main,1.900269
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Master of Science in Microbiology,2020,6,Main,16.55115
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Animal Sciences,2020,161,Main,1.900269
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Animal Sciences,2020,3,Main,1.900269
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Food Safety,2020,3,Main,10.28475
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Food Safety,2020,1,Main,10.28475
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Microbiology,2020,199,Main,16.55115
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Microbiology,2020,12,Main,16.55115
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Veterinary Science,2020,543,Main,88.528605
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Veterinary Science,2020,3,Main,88.528605
College of Agric and Life Sci,Biosystems Engineering,Graduate,Doctor of Philosophy in Biosystems Analytics & Technology,2020,2,Main,18.5955
College of Agric and Life Sci,Biosystems Engineering,Undergraduate,Major in Biosystems Analytics & Technology,2020,9,Main,6.8169465
College of Agric and Life Sci,Biosystems Engineering,Undergraduate,Major in Sustainable Plant Systems,2020,12,Distance,12.489435
College of Agric and Life Sci,Biosystems Engineering,Undergraduate,Major in Sustainable Plant Systems,2020,49,Main,12.489435
College of Agric and Life Sci,CALS Administration,Undergraduate,No Major Selected Ag Life Sci,2020,34,Main,12.65229
College of Agric and Life Sci,CALS Administration,Undergraduate,No Major Selected Ag Life Sci,2020,174,Online,12.65229
College of Agric and Life Sci,College of Agric and Life Sci,Graduate,Military Families,2020,2,Main,12.65229
College of Agric and Life Sci,College of Agric and Life Sci,Graduate,Military Families,2020,1,Online,12.65229
College of Agric and Life Sci,College of Agric and Life Sci,Graduate,Military Families,2020,1,South,12.65229
College of Agric and Life Sci,Environmental  Science,Graduate,"Doctor of Philosophy in Soil, Water and Environmental Science",2020,31,Main,15.45012
