,College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,,Projected_Demand,Current_Demand,Future_Demand
0,Col Arch Plan & Landscape Arch,Col Arch Plan & Landscape Arch,Graduate,Heritage Conservation,2020,1,Main,0.511938,6.0228,6.534738
1,Col Arch Plan & Landscape Arch,Planning Degree Program,Graduate,Master of Science in Planning,2020,27,Main,3.133845,28.4895,31.623345
2,Col Arch Plan & Landscape Arch,Planning Degree Program,Graduate,Master of Science in Urban Planning,2020,6,Main,3.133845,28.4895,31.623345
3,Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Real Estate Development Analysis,2020,1,Main,3.73864,43.984,47.72264
4,Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Real Estate Development Finance,2020,1,Online,15.2716185,179.6661,194.9377185
5,Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Real Estate Development Practice,2020,1,Main,4.749936,55.8816,60.631536
6,Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Master in Real Estate Development,2020,18,Main,3.73864,43.984,47.72264
7,Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Master in Real Estate Development,2020,32,Online,3.73864,43.984,47.72264
8,Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Master of Landscape Architecture,2020,35,Main,0.81876,16.3752,17.19396
9,Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Undergraduate,Major in Sustainable Built Environments,2020,113,Main,5.1391425,60.4605,65.5996425
10,Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Undergraduate,Major in Sustainable Built Environments,2020,44,Online,5.1391425,60.4605,65.5996425
11,Col Arch Plan & Landscape Arch,School of Architecture,Graduate,Master of Architecture,2020,18,Main,9.041382,106.3692,115.410582
12,Col Arch Plan & Landscape Arch,School of Architecture,Graduate,Master of Science in Architecture,2020,20,Main,9.041382,106.3692,115.410582
13,Col Arch Plan & Landscape Arch,School of Architecture,Undergraduate,Major in Architecture,2020,256,Main,9.041382,106.3692,115.410582
14,Col Arch Plan & Landscape Arch,School of Architecture,Undergraduate,Pre-Architecture,2020,183,Main,9.041382,106.3692,115.410582
15,College of Agric and Life Sci,Agricultural & Resource Econ,Graduate,Master of Science in Agricultural and Resource Economics,2020,14,Main,0,0.3185325,0.3185325
16,College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Agribusiness Economics and Management,2020,130,Main,0,0.3185325,0.3185325
17,College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Agribusiness Economics and Management,2020,5,Main,0,0.3185325,0.3185325
18,College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Environmental and Water Resource Economics,2020,21,Main,1.862469,21.9114,23.773869
19,College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Environmental and Water Resource Economics,2020,2,Main,1.862469,21.9114,23.773869
20,College of Agric and Life Sci,Agricultural Education,Graduate,Adult Teaching,2020,1,Main,3.039804,35.7624,38.802204
21,College of Agric and Life Sci,Agricultural Education,Graduate,Agricultural Leadership,2020,1,Main,0,662.5125,662.5125
22,College of Agric and Life Sci,Agricultural Education,Graduate,Master of Science in Agricultural Education,2020,12,Main,0.55016,11.0032,11.55336
23,College of Agric and Life Sci,Agricultural Education,Graduate,Master of Science in Agricultural Education,2020,13,Online,0.55016,11.0032,11.55336
24,College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Systems Management,2020,9,Distance,0,662.5125,662.5125
25,College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Technology Management and Education,2020,24,Distance,0.55016,11.0032,11.55336
26,College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Technology Management and Education,2020,94,Main,0.55016,11.0032,11.55336
27,College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Technology Management and Education,2020,2,Main,0.55016,11.0032,11.55336
28,College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Doctor of Philosophy in Animal Sciences,2020,4,Main,0.148869,1.7514,1.900269
29,College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Doctor of Philosophy in Microbiology,2020,3,Main,0.78815,15.763,16.55115
30,College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Master of Science in Animal Sciences,2020,2,Main,0.148869,1.7514,1.900269
31,College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Master of Science in Microbiology,2020,6,Main,0.78815,15.763,16.55115
32,College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Animal Sciences,2020,161,Main,0.148869,1.7514,1.900269
33,College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Animal Sciences,2020,3,Main,0.148869,1.7514,1.900269
34,College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Food Safety,2020,3,Main,0.48975,9.795,10.28475
