CIP_Code,Program,Minimum_Wage,Employment,Projected_Growth,Projected_Demand
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders ",30790,18000,0,554220000
15-2021.00,"Mathematicians   
Bright Outlook
  
 ",101900,3000,11,339327000
33-2021.01,Fire Inspectors ,62510,13000,5,853261500
47-4011.00,"Construction and Building Inspectors 
    
Green

",59700,117000,8.5,7578616500
15-1131.00,Computer Programmers ,84280,250000,-2,20648600000
17-2111.02,Fire-Prevention and Protection Engineers ,89130,27000,5,2526835500
15-2099.00,"Mathematical Science Occupations, All Other ",57190,2000,5,120099000
29-1141.01,"Acute Care Nurses 
",71730,3060000,11,2.43638E+11
29-2071.00,"Medical Records and Health Information Technicians 
",40350,216000,11,9674316000
33-9011.00,Animal Control Workers ,36330,13000,5,495904500
43-4199.00,"Information and Record Clerks, All Other ",40950,166000,5,7137585000
43-9061.00,"Office Clerks, General 
",32730,3159000,-2,1.01326E+11
51-9199.00,"Production Workers, All Other ",30170,245000,2.5,7576441250
31-9092.00,"Medical Assistants 
",33610,687000,11,25629977700
43-9111.00,"Statistical Assistants 
",48330,13000,8.5,681694650
43-4071.00,File Clerks ,31700,117000,-2,3634722000
25-1194.00,"Vocational Education Teachers, Postsecondary ",53120,126000,-2,6559257600
31-9094.00,Medical Transcriptionists ,34770,58000,-2,1976326800
43-3021.02,"Billing, Cost, and Rate Clerks 
",37800,486000,8.5,19932318000
43-6013.00,"Medical Secretaries 
",35760,602000,11,23895547200
43-9021.00,Data Entry Keyers ,32170,187000,-2,5895474200
43-9071.00,"Office Machine Operators, Except Computer ",32790,50000,-2,1606710000
51-9198.00,"Helpers--Production Workers 
",27730,355000,8.5,10680902750
33-1021.01,Municipal Fire Fighting and Prevention Supervisors ,76330,68000,5,5449962000
47-2111.00,"Electricians 

",55190,715000,8.5,42815022250
11-9111.00,"Medical and Health Services Managers 
",99730,406000,11,44944321800
43-1011.00,"First-Line Supervisors of Office and Administrative Support Workers 
",55810,1558000,0,86951980000
47-2152.02,"Plumbers 

",53910,500000,11,29920050000
15-1134.00,"Web Developers 
",69430,161000,11,12407835300
49-2098.00,"Security and Fire Alarm Systems Installers 
",47190,76000,11,3980948400
15-1141.00,"Database Administrators 
",90070,117000,8.5,11433936150
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks 
",40240,1708000,-2,67355321600
43-5011.00,"Cargo and Freight Agents 
",43210,96000,8.5,4500753600
47-2231.00,"Solar Photovoltaic Installers 

",42680,10000,11,473748000
15-1121.00,"Computer Systems Analysts 
",88740,634000,8.5,61043358600
15-1199.04,"Geospatial Information Scientists and Technologists 

",90270,413000,8.5,40450438350
15-2041.01,"Biostatisticians 
",87780,44000,11,4287175200
43-4031.03,License Clerks ,38450,151000,5,6096247500
43-4111.00,"Interviewers, Except Eligibility and Loan ",34060,205000,2.5,7156857500
15-1199.07,"Data Warehousing Specialists 
",90270,413000,8.5,40450438350
11-9121.01,Clinical Research Coordinators ,123860,64000,5,8323392000
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products 
",62750,432000,-2,26565840000
13-1041.01,Environmental Compliance Inspectors ,68860,320000,5,23136960000
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists ",63000,89000,5,5887350000
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents ",54440,58000,-2,3094369600
15-1199.01,"Software Quality Assurance Engineers and Testers 
",90270,413000,8.5,40450438350
17-2199.08,"Robotics Engineers 
",96980,158000,5,16088982000
17-3031.02,Mapping Technicians ,44380,57000,5,2656143000
19-2043.00,"Hydrologists 

",79370,7000,8.5,602815150
19-4061.00,"Social Science Research Assistants 
",46640,40000,8.5,2024176000
19-4061.01,"City and Regional Planning Aides 
",46640,40000,8.5,2024176000
25-4021.00,Librarians ,59050,135000,5,8370337500
29-2032.00,"Diagnostic Medical Sonographers 
",72510,73000,11,5875485300
33-3021.06,Intelligence Analysts ,81920,111000,2.5,9320448000
43-2011.00,"Switchboard Operators, Including Answering Service ",29420,73000,-2,2104706800
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators ",58770,100000,-2,5759460000
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay ",80200,23000,2.5,1890715000
49-9094.00,Locksmiths and Safe Repairers ,41450,22000,-2,893662000
51-6011.00,Laundry and Dry-Cleaning Workers ,23210,219000,0,5082990000
53-6041.00,Traffic Technicians ,46570,8000,5,391188000
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers ",56100,233000,-2,12809874000
49-9041.00,"Industrial Machinery Mechanics 
",52340,382000,5,20993574000
11-9021.00,"Construction Managers 

",93370,472000,8.5,47816644400
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program 
",47940,67000,8.5,3484998300
11-9032.00,"Education Administrators, Elementary and Secondary School ",95310,275000,5,27520762500
11-9141.00,"Property, Real Estate, and Community Association Managers 
",58340,363000,8.5,22977500700
11-9199.08,Loss Prevention Managers ,107480,1080000,5,1.21882E+11
11-9199.10,"Wind Energy Project Managers 
",107480,1080000,5,1.21882E+11
13-1071.00,Human Resources Specialists ,60880,626000,5,40016424000
13-1199.04,"Business Continuity Planners 
",70530,1136000,5,84128184000
13-2021.02,"Appraisers, Real Estate 
",54980,80000,8.5,4772264000
15-1199.06,"Database Architects 
",90270,413000,8.5,40450438350
17-2071.00,"Electrical Engineers 
",96640,192000,5,19482624000
17-2072.00,"Electronics Engineers, Except Computer 
",102700,139000,0,14275300000
17-2111.01,"Industrial Safety and Health Engineers 
",89130,27000,5,2526835500
17-3011.01,"Architectural Drafters 
",54920,101000,2.5,5685593000
17-3022.00,Civil Engineering Technicians ,52580,74000,5,4085466000
17-3029.01,Non-Destructive Testing Specialists ,63200,87000,2.5,5635860000
17-3029.02,"Electrical Engineering Technologists 
",63200,87000,2.5,5635860000
19-2041.00,"Environmental Scientists and Specialists, Including Health 

",71130,85000,8.5,6559964250
19-3051.00,"Urban and Regional Planners 

",73050,39000,11,3162334500
23-2011.00,"Paralegals and Legal Assistants 
",50940,326000,11,18433148400
25-9031.00,Instructional Coordinators ,64450,182000,5,12316395000
27-3091.00,"Interpreters and Translators 
",49930,76000,11,4212094800
27-4013.00,Radio Operators ,42220,1000,2.5,43275500
27-4032.00,"Film and Video Editors 
",62650,40000,11,2781660000
29-1031.00,"Dietitians and Nutritionists 
",60370,71000,11,4757759700
33-3041.00,Parking Enforcement Workers ,39840,9000,-2,351388800
43-4031.02,Municipal Clerks ,38450,151000,5,6096247500
45-4011.00,"Forest and Conservation Workers 
",27460,14000,-2,376751200
47-1011.03,"Solar Energy Installation Managers 

",65230,663000,8.5,46923526650
47-4021.00,"Elevator Installers and Repairers 
",79780,27000,8.5,2337155100
47-4099.02,"Solar Thermal Installers and Technicians 

",38860,35000,8.5,1475708500
47-4099.03,"Weatherization Installers and Technicians 

",38860,35000,8.5,1475708500
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers ",34560,37000,0,1278720000
51-7032.00,"Patternmakers, Wood ",60940,1000,2.5,62463500
51-8021.00,"Stationary Engineers and Boiler Operators 
",60440,34000,2.5,2106334000
51-8099.02,"Methane/Landfill Gas Generation System Technicians 
",57100,13000,0,742300000
15-1199.10,"Search Marketing Strategists 
",90270,413000,8.5,40450438350
15-2041.00,"Statisticians 
",87780,44000,11,4287175200
19-2021.00,"Atmospheric and Space Scientists 

",94110,10000,8.5,1021093500
13-1199.03,"Customs Brokers 
",70530,1136000,5,84128184000
15-2041.02,"Clinical Data Managers 
",87780,44000,11,4287175200
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers ",38480,115000,-2,4336696000
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment 
",58110,61000,0,3544710000
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door ",56070,53000,2.5,3046002750
