College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus
Col Arch Plan & Landscape Arch,Col Arch Plan & Landscape Arch,Graduate,Heritage Conservation,2020,1,Main
Col Arch Plan & Landscape Arch,Planning Degree Program,Graduate,Master of Science in Planning,2020,27,Main
Col Arch Plan & Landscape Arch,Planning Degree Program,Graduate,Master of Science in Urban Planning,2020,6,Main
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Real Estate Development Analysis,2020,1,Main
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Real Estate Development Practice,2020,1,Main
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Master in Real Estate Development,2020,18,Main
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Master of Landscape Architecture,2020,35,Main
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Undergraduate,Major in Sustainable Built Environments,2020,113,Main
Col Arch Plan & Landscape Arch,School of Architecture,Graduate,Master of Architecture,2020,18,Main
Col Arch Plan & Landscape Arch,School of Architecture,Graduate,Master of Science in Architecture,2020,20,Main
Col Arch Plan & Landscape Arch,School of Architecture,Undergraduate,Major in Architecture,2020,439,Main
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Real Estate Development Finance,2020,1,Online
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Graduate,Master in Real Estate Development,2020,32,Online
Col Arch Plan & Landscape Arch,Sch of Landscape Architecture,Undergraduate,Major in Sustainable Built Environments,2020,44,Online
College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Systems Management,2020,9,Distance
College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Technology Management and Education,2020,24,Distance
College of Agric and Life Sci,Biosystems Engineering,Undergraduate,Major in Sustainable Plant Systems,2020,12,Distance
College of Agric and Life Sci,"Family & Consumer Sci, Sch",Undergraduate,Major in Family Studies and Human Development,2020,49,Distance
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,7,Distance
College of Agric and Life Sci,Agricultural & Resource Econ,Graduate,Master of Science in Agricultural and Resource Economics,2020,14,Main
College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Agribusiness Economics and Management,2020,130,Main
College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Agribusiness Economics and Management,2020,5,Main
College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Environmental and Water Resource Economics,2020,21,Main
College of Agric and Life Sci,Agricultural & Resource Econ,Undergraduate,Major in Environmental and Water Resource Economics,2020,2,Main
College of Agric and Life Sci,Agricultural Education,Graduate,Adult Teaching,2020,1,Main
College of Agric and Life Sci,Agricultural Education,Graduate,Agricultural Leadership,2020,1,Main
College of Agric and Life Sci,Agricultural Education,Graduate,Master of Science in Agricultural Education,2020,12,Main
College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Technology Management and Education,2020,94,Main
College of Agric and Life Sci,Agricultural Education,Undergraduate,Major in Agricultural Technology Management and Education,2020,2,Main
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Doctor of Philosophy in Animal Sciences,2020,4,Main
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Doctor of Philosophy in Microbiology,2020,3,Main
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Master of Science in Animal Sciences,2020,2,Main
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Graduate,Master of Science in Microbiology,2020,6,Main
College of Agric and Life Sci,Animal&Biomedical Sciences-Ins,Undergraduate,Major in Animal Sciences,2020,161,Main
